job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level,automation_risk_category,skill_transition_pressure,wage_volatility_index,reskilling_urgency_score,ai_disruption_intensity,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,period,continent,company_name,company_size,location,remote_allow_percentage,employment_type,experience_level,education_level,top_skills,required_cloud_cert,open_source_contributions_required,salary_usd,equity_offered,expected_weekly_hours,hiring_urgency_score,benefit_stars,job_posted_date,automation_risk,visa_sponsorship,prosperity_score
16,customer support rep,Education,usa,2021,54.22,48.19,11.99,70513.82,69376.53,-1.61,9.04,56.69,70.3,1,Medium,33.105,1.61,25.768000000000004,38.11666,71.9,41.1,57.2,70.2,69.4,102.6,year,North America,,,,,,,,,,,,,,,,,,,96490.3059805285
17,mechanical engineer,Transportation,canada,2020,35.45,42.14,96.24,60213.88,48660.21,-19.19,4.73,35.64,3.69,2,Medium,65.845,19.19,48.809,1.3081050000000003,67.6,30.7,50.0,63.7,63.5,95.1,year,North America,,,,,,,,,,,,,,,,,,,71982.55917159765
18,marketing specialist,Education,germany,2025,52.67,52.73,5.15,63437.58,62217.28,-1.92,8.02,23.04,48.95,4,Medium,28.91,1.92,23.189000000000004,25.781965,58.4,22.4,42.4,56.7,57.5,127.1,year,Europe,,,,,,,,,,,,,,,,,,,106536.43835616438
19,teacher,Energy,uk,2022,79.0,70.84,67.21,121394.35,130997.04,7.91,-4.09,43.1,63.23,2,High,73.10499999999999,7.91,54.136,49.9517,69.7,31.8,51.9,56.6,76.8,88.8,year,Europe,,,,,,,,,,,,,,,,,,,187944.1032998565
20,customer support rep,Retail,singapore,2024,69.35,70.34,9.03,130236.3,117335.92,-9.91,-0.66,13.67,59.09,4,High,39.19,9.91,33.422,40.978915,81.9,71.9,77.1,75.0,55.3,103.0,year,Asia,,,,,,,,,,,,,,,,,,,143267.3015873016
21,mechanical engineer,Manufacturing,uk,2024,57.43,46.32,51.21,57179.49,51105.29,-10.62,9.74,72.18,38.67,4,Medium,54.32,10.62,41.521,22.208181,63.7,33.5,49.4,55.5,63.9,90.1,year,Europe,,,,,,,,,,,,,,,,,,,80228.08477237048
22,data analyst,Technology,india,2021,65.57,56.06,34.11,43616.82,47165.13,8.14,-7.31,83.55,55.52,2,High,49.84,8.14,38.903,36.404464,25.2,5.8,15.9,26.3,17.7,47.1,year,Asia,,,,,,,,,,,,,,,,,,,187163.21428571426
23,teacher,Finance,singapore,2023,47.08,42.21,9.31,137665.89,141243.59,2.6,12.82,40.51,34.92,5,Medium,28.195,2.6,22.405,16.440336,85.9,85.3,85.6,74.0,58.4,95.6,year,Asia,,,,,,,,,,,,,,,,,,,164427.92782305006
24,truck driver,Retail,brazil,2026,75.82,87.86,88.71,123585.07,115180.98,-6.8,7.32,24.55,89.86,1,High,82.26499999999999,6.8,58.981,68.131852,30.1,8.5,20.5,30.0,26.0,46.1,year,South America,,,,,,,,,,,,,,,,,,,382661.06312292354
25,data analyst,Retail,australia,2020,42.45,34.12,10.15,109620.21,130072.87,18.66,9.74,68.68,22.43,3,Medium,26.3,18.66,25.623,9.521535,73.5,34.9,55.0,67.2,70.3,107.3,year,Oceania,,,,,,,,,,,,,,,,,,,176969.89115646257
26,teacher,Healthcare,japan,2020,59.85,53.56,32.54,119578.97,131098.92,9.63,9.13,69.19,56.83,3,Medium,46.195,9.63,36.591,34.012755,83.3,26.0,55.9,81.8,48.9,87.3,year,Asia,,,,,,,,,,,,,,,,,,,157381.6566626651
27,financial analyst,Healthcare,brazil,2020,16.56,15.68,26.52,59278.76,58821.71,-0.77,8.41,90.28,63.11,3,Low,21.54,0.77,14.810999999999998,10.451016,40.2,10.6,26.1,29.2,30.8,32.8,year,South America,,,,,,,,,,,,,,,,,,,146322.66169154228
28,financial analyst,Manufacturing,uk,2022,65.64,65.71,57.69,89102.12,94676.95,6.26,-3.57,35.27,2.43,2,High,61.665,6.26,45.441,1.595052,69.7,31.8,51.9,56.6,76.8,88.8,year,Europe,,,,,,,,,,,,,,,,,,,135834.93543758965
29,financial analyst,Technology,australia,2023,55.18,48.06,94.05,144471.43,141243.03,-2.23,12.14,11.39,92.83,1,Medium,74.615,2.23,50.956,51.223594000000006,75.3,39.0,57.9,73.3,66.2,110.9,year,Oceania,,,,,,,,,,,,,,,,,,,187573.74501992032
30,data analyst,Education,canada,2021,29.97,35.57,96.36,132361.13,121152.88,-8.47,-10.15,86.6,31.69,1,Low,63.165,8.47,43.437,9.497493,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,172828.64479315266
31,customer support rep,Finance,india,2025,36.86,37.7,93.62,113523.58,103489.71,-8.84,6.54,65.35,99.01,4,Medium,65.24000000000001,8.84,45.482,36.495086,19.5,5.0,13.1,22.5,16.6,82.2,year,Asia,,,,,,,,,,,,,,,,,,,530716.4615384616
32,data analyst,Healthcare,uk,2025,9.81,9.88,87.74,118892.23,131768.87,10.83,15.54,42.35,29.36,4,Low,48.775,10.83,33.495,2.8802160000000003,59.2,30.0,46.3,54.8,65.3,119.9,year,Europe,,,,,,,,,,,,,,,,,,,222582.55067567565
33,financial analyst,Healthcare,canada,2024,66.66,74.92,86.71,139588.87,146778.36,5.15,43.53,81.85,65.0,5,High,76.685,5.15,54.222,43.32899999999999,68.4,36.0,53.1,70.7,64.0,83.3,year,North America,,,,,,,,,,,,,,,,,,,214588.24561403503
34,teacher,Manufacturing,brazil,2026,59.14,66.13,89.0,70559.42,65106.41,-7.73,2.63,62.05,3.59,2,Medium,74.07,7.73,52.675,2.123126,30.1,8.5,20.5,30.0,26.0,46.1,year,South America,,,,,,,,,,,,,,,,,,,216300.365448505
35,hr manager,Transportation,australia,2023,42.59,43.32,28.65,100899.99,96138.2,-4.72,15.89,21.44,52.22,5,Medium,35.620000000000005,4.72,27.047,22.240498,75.3,39.0,57.9,73.3,66.2,110.9,year,Oceania,,,,,,,,,,,,,,,,,,,127673.57237715802
36,truck driver,Finance,germany,2021,78.9,69.93,62.29,40241.7,40425.08,0.46,-1.52,58.66,63.74,1,High,70.595,0.46,50.385,50.29086,70.6,29.6,51.0,54.7,65.0,93.7,year,Europe,,,,,,,,,,,,,,,,,,,57259.32011331446
37,mechanical engineer,Technology,brazil,2021,60.83,72.4,51.63,68754.78,64204.68,-6.62,13.52,49.51,7.85,5,High,56.23,6.62,41.807,4.775155,31.8,8.1,20.5,25.4,22.5,28.7,year,South America,,,,,,,,,,,,,,,,,,,201901.50943396226
38,customer support rep,Technology,india,2025,26.77,31.73,83.6,113516.9,99891.51,-12.0,1.65,24.08,25.02,1,Low,55.185,12.0,39.388,6.697854,19.5,5.0,13.1,22.5,16.6,82.2,year,Asia,,,,,,,,,,,,,,,,,,,512264.1538461538
39,customer support rep,Finance,usa,2026,63.45,68.89,66.02,63592.07,77087.3,21.22,15.32,47.76,24.77,3,High,64.735,21.22,51.552,15.716565,68.8,40.7,56.3,74.0,72.8,146.0,year,North America,,,,,,,,,,,,,,,,,,,112045.49418604652
40,data analyst,Manufacturing,canada,2025,24.92,27.49,1.44,43928.72,45878.36,4.44,12.75,52.68,9.78,4,Low,13.18,4.44,11.732000000000005,2.437176,58.7,30.3,46.1,65.3,59.9,109.1,year,North America,,,,,,,,,,,,,,,,,,,78157.34241908007
41,customer support rep,Healthcare,japan,2021,59.41,58.78,17.32,82062.2,95458.12,16.32,-9.3,67.16,4.53,4,Medium,38.365,16.32,33.856,2.691273,87.8,28.0,59.2,90.5,49.7,76.5,year,Asia,,,,,,,,,,,,,,,,,,,108722.23234624146
42,teacher,Manufacturing,india,2020,36.22,38.05,50.31,132778.78,119746.43,-9.82,9.62,16.35,64.24,4,Medium,43.265,9.82,32.527,23.267728,24.6,5.7,15.5,24.5,17.2,54.3,year,Asia,,,,,,,,,,,,,,,,,,,486774.1056910569
43,mechanical engineer,Transportation,singapore,2023,11.86,12.26,94.02,99056.9,114767.49,15.86,-7.38,51.24,54.56,1,Low,52.94,15.86,37.708000000000006,6.470816,85.9,85.3,85.6,74.0,58.4,95.6,year,Asia,,,,,,,,,,,,,,,,,,,133605.92549476135
44,data analyst,Technology,singapore,2025,65.9,62.9,96.12,138642.08,142537.81,2.81,-1.23,16.41,31.9,3,High,81.01,2.81,56.039,21.0221,79.1,67.0,73.7,70.8,53.5,93.8,year,Asia,,,,,,,,,,,,,,,,,,,180199.50695322378
45,data analyst,Manufacturing,germany,2021,59.14,47.86,81.45,63822.57,66101.14,3.57,-1.93,66.6,87.75,5,Medium,70.295,3.57,49.162,51.89535,70.6,29.6,51.0,54.7,65.0,93.7,year,Europe,,,,,,,,,,,,,,,,,,,93627.67705382437
46,truck driver,Healthcare,singapore,2021,76.45,85.74,28.2,51292.75,55125.82,7.47,11.1,99.15,41.26,3,High,52.325,7.47,41.281,31.54327,85.6,64.8,75.6,75.3,62.1,83.6,year,Asia,,,,,,,,,,,,,,,,,,,64399.32242990655
47,truck driver,Manufacturing,india,2023,51.04,56.68,34.08,141690.88,138606.53,-2.18,15.99,77.58,75.45,5,Medium,42.56,2.18,31.294,38.50968,22.4,5.5,14.3,23.3,15.7,64.6,year,Asia,,,,,,,,,,,,,,,,,,,618779.1517857143
48,data analyst,Technology,brazil,2026,7.22,8.38,50.53,129174.9,137984.02,6.82,1.9,45.03,1.08,1,Low,28.875,6.82,20.093,0.077976,30.1,8.5,20.5,30.0,26.0,46.1,year,South America,,,,,,,,,,,,,,,,,,,458418.6710963455
49,data analyst,Manufacturing,uk,2023,63.38,53.02,31.93,144007.44,145404.25,0.97,10.95,66.87,44.84,4,High,47.655,0.97,35.222,28.419592,61.5,30.3,46.6,47.7,67.9,98.9,year,Europe,,,,,,,,,,,,,,,,,,,236429.67479674798
50,truck driver,Manufacturing,singapore,2020,45.52,42.4,67.25,120284.94,127792.17,6.24,11.28,18.21,49.44,2,Medium,56.385000000000005,6.24,40.255,22.505088,81.1,63.3,72.6,66.8,59.0,89.0,year,Asia,,,,,,,,,,,,,,,,,,,157573.5758323058
51,teacher,Technology,singapore,2022,14.03,14.31,44.15,136524.5,125254.44,-8.25,1.79,22.87,76.15,4,Low,29.09,8.25,21.332,10.683845000000002,84.0,66.4,75.8,77.1,61.2,91.3,year,Asia,,,,,,,,,,,,,,,,,,,149112.42857142855
52,hr manager,Transportation,brazil,2025,53.28,44.78,8.41,114116.3,108740.98,-4.71,7.32,17.64,98.66,4,Medium,30.845,4.71,25.248,52.566048,25.6,7.2,17.4,25.9,22.5,42.3,year,South America,,,,,,,,,,,,,,,,,,,424769.45312499994
53,accountant,Manufacturing,canada,2021,36.2,34.33,81.28,143669.83,133347.95,-7.18,2.87,79.94,55.84,1,Medium,58.74,7.18,41.018,20.214080000000003,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,190225.3209700428
54,marketing specialist,Technology,australia,2020,39.7,46.15,11.12,89115.01,88950.03,-0.19,2.11,15.07,11.88,1,Medium,25.41,0.19,19.273,4.716360000000001,73.5,34.9,55.0,67.2,70.3,107.3,year,Oceania,,,,,,,,,,,,,,,,,,,121020.44897959183
55,marketing specialist,Energy,brazil,2026,18.23,19.31,74.6,100004.25,98916.6,-1.09,9.02,35.71,86.86,5,Low,46.415,1.09,29.999,15.834578,30.1,8.5,20.5,30.0,26.0,46.1,year,South America,,,,,,,,,,,,,,,,,,,328626.5780730897
56,accountant,Technology,brazil,2020,25.65,30.4,1.22,146385.46,149665.85,2.24,5.13,16.64,55.39,2,Low,13.435,2.24,11.298,14.207535,40.2,10.6,26.1,29.2,30.8,32.8,year,South America,,,,,,,,,,,,,,,,,,,372303.10945273633
57,data analyst,Finance,germany,2023,67.85,68.48,62.94,113489.84,137926.28,21.53,-2.67,62.59,90.12,1,High,65.395,21.53,52.481,61.14642,62.9,26.1,45.3,50.9,56.2,107.6,year,Europe,,,,,,,,,,,,,,,,,,,219278.66454689985
58,marketing specialist,Manufacturing,usa,2024,13.18,12.03,95.04,136831.65,166795.09,21.9,-3.08,34.96,18.81,1,Low,54.11,21.9,40.354,2.479158,72.9,44.7,59.5,74.2,68.4,120.9,year,North America,,,,,,,,,,,,,,,,,,,228799.8491083676
59,teacher,Education,canada,2021,42.46,39.97,58.37,39328.16,40672.22,3.42,23.76,37.86,81.38,3,Medium,50.415,3.42,35.52100000000001,34.553948,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,58020.28530670472
60,customer support rep,Retail,singapore,2021,72.93,63.09,91.09,128704.47,111712.48,-13.2,23.31,93.95,86.61,3,High,82.01,13.2,60.45900000000001,63.164673,85.6,64.8,75.6,75.3,62.1,83.6,year,Asia,,,,,,,,,,,,,,,,,,,130505.23364485982
61,truck driver,Education,india,2020,28.17,22.83,37.65,127266.4,105463.95,-17.13,18.54,97.29,84.21,4,Low,32.91,17.13,27.702,23.721957,24.6,5.7,15.5,24.5,17.2,54.3,year,Asia,,,,,,,,,,,,,,,,,,,428715.243902439
62,marketing specialist,Finance,india,2024,68.68,67.82,41.48,62808.85,62841.78,0.05,5.47,79.21,94.48,2,High,55.08,0.05,39.931,64.88886400000001,22.2,6.2,14.6,23.5,15.6,60.7,year,Asia,,,,,,,,,,,,,,,,,,,283071.08108108107
63,financial analyst,Retail,uk,2022,69.48,62.45,45.05,45499.13,46046.46,1.2,10.14,30.58,67.17,1,High,57.265,1.2,41.667,46.66971600000001,69.7,31.8,51.9,56.6,76.8,88.8,year,Europe,,,,,,,,,,,,,,,,,,,66063.78766140602
64,customer support rep,Education,canada,2021,68.27,64.4,11.36,110588.78,127742.78,15.51,6.16,56.81,85.22,4,High,39.815,15.51,35.369,58.179694,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,182229.35805991443
65,financial analyst,Retail,brazil,2020,48.63,49.82,87.67,78417.94,83478.85,6.45,18.69,73.37,21.3,5,Medium,68.15,6.45,47.688,10.358190000000002,40.2,10.6,26.1,29.2,30.8,32.8,year,South America,,,,,,,,,,,,,,,,,,,207658.83084577112
66,hr manager,Finance,uk,2022,19.55,15.75,35.06,100790.12,88864.05,-11.83,-15.39,91.37,34.83,1,Low,27.305,11.83,21.887,6.809265,69.7,31.8,51.9,56.6,76.8,88.8,year,Europe,,,,,,,,,,,,,,,,,,,127495.05021520804
67,data analyst,Healthcare,canada,2022,35.98,40.06,39.65,104650.4,86824.44,-17.03,4.44,51.32,98.0,5,Medium,37.815,17.03,31.396,35.2604,70.2,34.3,53.4,70.0,67.9,88.0,year,North America,,,,,,,,,,,,,,,,,,,123681.53846153845
68,customer support rep,Education,germany,2025,59.48,55.41,63.34,58817.47,60973.71,3.67,-4.4,26.37,34.57,3,Medium,61.41,3.67,43.895,20.562236,58.4,22.4,42.4,56.7,57.5,127.1,year,Europe,,,,,,,,,,,,,,,,,,,104407.03767123289
69,financial analyst,Energy,canada,2026,72.78,72.02,66.76,50678.38,47991.12,-5.3,-2.93,25.93,8.87,1,High,69.77000000000001,5.3,50.73,6.455585999999999,63.0,31.5,48.9,69.6,64.1,119.4,year,North America,,,,,,,,,,,,,,,,,,,76176.38095238095
70,data analyst,Transportation,canada,2020,8.44,8.31,20.63,73712.38,88194.84,19.65,5.35,13.54,79.94,1,Low,14.535,19.65,15.46,6.746936,67.6,30.7,50.0,63.7,63.5,95.1,year,North America,,,,,,,,,,,,,,,,,,,130465.73964497042
71,mechanical engineer,Healthcare,canada,2021,53.95,44.93,87.36,140504.69,138926.43,-1.12,2.79,82.56,74.83,4,Medium,70.655,1.12,48.124,40.370785,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,198183.20970042795
72,financial analyst,Transportation,brazil,2020,22.92,20.25,37.05,88142.76,74787.45,-15.15,18.67,51.63,74.75,1,Low,29.985,15.15,24.828000000000003,17.132700000000003,40.2,10.6,26.1,29.2,30.8,32.8,year,South America,,,,,,,,,,,,,,,,,,,186038.43283582086
73,data analyst,Healthcare,brazil,2020,5.0,4.5,71.33,137424.82,179736.28,30.79,16.2,19.65,44.74,3,Low,38.165,30.79,32.636,2.237,40.2,10.6,26.1,29.2,30.8,32.8,year,South America,,,,,,,,,,,,,,,,,,,447105.17412935325
74,marketing specialist,Healthcare,singapore,2021,47.28,42.41,26.92,75274.1,70407.08,-6.47,-5.82,20.78,89.05,1,Medium,37.1,6.47,28.929,42.10283999999999,85.6,64.8,75.6,75.3,62.1,83.6,year,Asia,,,,,,,,,,,,,,,,,,,82251.261682243
75,hr manager,Education,usa,2022,51.55,55.24,78.92,89813.06,90507.93,0.77,-3.61,62.82,74.54,2,Medium,65.235,0.77,44.527,38.42537,70.1,42.1,57.0,70.4,70.1,106.3,year,North America,,,,,,,,,,,,,,,,,,,129112.59629101284
76,customer support rep,Finance,australia,2026,55.22,46.99,28.38,73569.88,80383.75,9.26,24.09,42.05,98.65,5,Medium,41.8,9.26,33.38,54.47453,67.9,33.7,52.7,76.5,65.6,137.3,year,Oceania,,,,,,,,,,,,,,,,,,,118385.49337260677
77,teacher,Healthcare,germany,2026,52.4,46.9,10.18,48343.1,45197.69,-6.51,0.13,26.79,28.51,2,Medium,31.29,6.51,25.967,14.93924,68.7,24.6,49.0,64.9,66.9,138.3,year,Europe,,,,,,,,,,,,,,,,,,,65789.94177583697
78,accountant,Transportation,usa,2021,22.14,25.65,8.02,92941.37,95455.03,2.7,4.5,20.08,39.79,3,Low,15.08,2.7,12.072,8.809506,71.9,41.1,57.2,70.2,69.4,102.6,year,North America,,,,,,,,,,,,,,,,,,,132760.82058414462
79,teacher,Manufacturing,canada,2021,77.86,89.25,81.71,60948.34,64001.35,5.01,-4.78,93.64,55.68,1,High,79.785,5.01,57.16,43.352448,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,91300.07132667619
80,teacher,Technology,japan,2021,50.01,45.61,76.95,52445.25,48442.32,-7.63,-13.05,55.68,24.24,2,Medium,63.48,7.63,45.378,12.122424,87.8,28.0,59.2,90.5,49.7,76.5,year,Asia,,,,,,,,,,,,,,,,,,,55173.48519362187
81,truck driver,Education,canada,2026,33.04,34.5,28.86,99748.59,99089.45,-0.66,-7.11,57.93,5.18,2,Medium,30.95,0.66,22.072000000000003,1.711472,63.0,31.5,48.9,69.6,64.1,119.4,year,North America,,,,,,,,,,,,,,,,,,,157284.84126984127
82,customer support rep,Technology,germany,2023,48.56,41.46,6.34,148795.23,163768.38,10.06,-0.77,32.92,68.15,3,Medium,27.450000000000003,10.06,24.344000000000005,33.09364000000001,62.9,26.1,45.3,50.9,56.2,107.6,year,Europe,,,,,,,,,,,,,,,,,,,260363.08426073132
83,hr manager,Finance,canada,2022,63.22,65.63,47.16,79420.91,84004.07,5.77,2.97,84.76,96.5,5,High,55.19,5.77,41.167,61.0073,70.2,34.3,53.4,70.0,67.9,88.0,year,North America,,,,,,,,,,,,,,,,,,,119663.91737891738
84,teacher,Education,usa,2020,18.7,20.43,93.83,51747.97,52196.05,0.87,3.44,61.7,84.18,3,Low,56.265,0.87,35.89,15.74166,71.1,40.3,56.4,66.6,70.7,109.5,year,North America,,,,,,,,,,,,,,,,,,,73412.1659634318
85,accountant,Retail,usa,2020,19.78,22.12,20.16,49638.71,51596.72,3.94,0.79,69.87,52.31,5,Low,19.97,3.94,15.142,10.346918,71.1,40.3,56.4,66.6,70.7,109.5,year,North America,,,,,,,,,,,,,,,,,,,72569.2264416315
86,teacher,Education,australia,2023,35.12,40.42,39.24,127991.93,101905.58,-20.38,-5.08,51.64,30.14,5,Medium,37.18,20.38,31.934,10.585168,75.3,39.0,57.9,73.3,66.2,110.9,year,Oceania,,,,,,,,,,,,,,,,,,,135332.77556440904
87,financial analyst,Finance,singapore,2024,62.33,62.4,23.22,137948.95,149390.51,8.29,-17.11,91.58,62.42,2,High,42.775,8.29,34.385000000000005,38.906386000000005,81.9,71.9,77.1,75.0,55.3,103.0,year,Asia,,,,,,,,,,,,,,,,,,,182405.99511599512
88,hr manager,Technology,singapore,2020,18.18,21.38,62.77,70188.67,72564.54,3.38,0.85,65.81,53.35,5,Low,40.475,3.38,27.117,9.69903,81.1,63.3,72.6,66.8,59.0,89.0,year,Asia,,,,,,,,,,,,,,,,,,,89475.38840937115
89,financial analyst,Manufacturing,australia,2023,72.57,80.95,15.17,67406.65,73003.66,8.3,-3.56,13.02,56.99,1,High,43.87,8.3,36.069,41.357643,75.3,39.0,57.9,73.3,66.2,110.9,year,Oceania,,,,,,,,,,,,,,,,,,,96950.411686587
90,mechanical engineer,Education,india,2025,63.37,72.92,34.21,128550.88,125081.61,-2.7,-4.79,81.76,14.99,3,High,48.79,2.7,36.421,9.499163,19.5,5.0,13.1,22.5,16.6,82.2,year,Asia,,,,,,,,,,,,,,,,,,,641444.1538461539
91,financial analyst,Retail,singapore,2022,26.05,28.36,72.0,106937.72,111358.89,4.13,23.77,32.66,34.57,4,Low,49.025,4.13,33.25899999999999,9.005485,84.0,66.4,75.8,77.1,61.2,91.3,year,Asia,,,,,,,,,,,,,,,,,,,132570.10714285713
92,hr manager,Healthcare,germany,2023,22.71,26.42,58.34,78102.17,83212.91,6.54,4.44,23.8,58.62,4,Low,40.525000000000006,6.54,28.548,13.312602,62.9,26.1,45.3,50.9,56.2,107.6,year,Europe,,,,,,,,,,,,,,,,,,,132293.9745627981
93,accountant,Retail,singapore,2024,45.41,47.44,1.81,134654.87,136127.92,1.09,12.26,72.7,92.25,1,Medium,23.61,1.09,19.034,41.890725,81.9,71.9,77.1,75.0,55.3,103.0,year,Asia,,,,,,,,,,,,,,,,,,,166212.35653235653
94,hr manager,Retail,germany,2023,59.51,51.24,57.63,102805.81,119184.69,15.93,-0.11,94.09,92.56,5,Medium,58.57,15.93,45.872,55.082456,62.9,26.1,45.3,50.9,56.2,107.6,year,Europe,,,,,,,,,,,,,,,,,,,189482.81399046106
95,marketing specialist,Education,japan,2023,41.56,35.13,98.48,130667.77,131395.92,0.56,15.94,63.21,39.9,4,Medium,70.02000000000001,0.56,46.336000000000006,16.582440000000002,64.6,20.8,43.6,66.5,37.9,100.4,year,Asia,,,,,,,,,,,,,,,,,,,203399.2569659443
96,customer support rep,Energy,uk,2025,28.83,26.93,80.29,30555.84,27463.27,-10.12,-11.55,58.37,91.99,1,Low,54.56,10.12,38.655,26.520716999999998,59.2,30.0,46.3,54.8,65.3,119.9,year,Europe,,,,,,,,,,,,,,,,,,,46390.65878378379
